City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,New Norfolk,-42.7826,147.0587,57.0,82,67,3.0,AU,2021-03-16 22:46:19
68,Reinosa,42.9996,-4.138,50.0,99,63,1.01,ES,2021-03-16 22:48:30
69,Port Elizabeth,-33.918,25.5701,64.4,88,75,1.14,ZA,2021-03-16 22:46:15
70,East London,-33.0153,27.9116,70.14,74,83,5.66,ZA,2021-03-16 22:43:04
71,Luderitz,-26.6481,15.1594,62.78,84,0,11.45,NA,2021-03-16 22:47:14
72,Portland,45.5234,-122.6762,55.0,43,40,4.61,US,2021-03-16 22:41:50
73,Puerto Cabello,10.4731,-68.0125,84.2,85,98,16.11,VE,2021-03-16 22:48:31
74,Pacific Grove,36.6177,-121.9166,54.0,70,45,5.01,US,2021-03-16 22:44:58
75,Hilo,19.7297,-155.09,78.8,69,75,9.22,US,2021-03-16 22:46:19
76,Amga,60.8953,131.9608,2.53,94,53,4.83,RU,2021-03-16 22:48:31
77,Batagay-Alyta,67.8006,130.4114,-18.85,82,53,3.22,RU,2021-03-16 22:48:32
78,Puerto Ayora,-0.7393,-90.3518,82.4,78,20,9.22,EC,2021-03-16 22:47:19
79,Bathsheba,13.2167,-59.5167,78.8,65,20,16.11,BB,2021-03-16 22:48:32
80,Geraldton,-28.7667,114.6,69.8,88,59,2.3,AU,2021-03-16 22:47:07
81,Cabra,37.4725,-4.4421,54.0,74,45,4.07,ES,2021-03-16 22:48:32
82,Castro,-24.7911,-50.0119,66.13,89,11,3.71,BR,2021-03-16 22:47:16
83,Samarai,-10.6167,150.6667,81.88,77,100,6.29,PG,2021-03-16 22:45:14
84,Surovikino,48.6078,42.8486,33.87,64,94,18.28,RU,2021-03-16 22:48:32
85,Kaitangata,-46.2817,169.8464,55.99,63,98,14.0,NZ,2021-03-16 22:46:49
86,Puerto Escondido,15.85,-97.0667,86.0,70,20,8.05,MX,2021-03-16 22:48:33
87,Evensk,61.95,159.2333,10.0,71,0,12.08,RU,2021-03-16 22:48:33
88,Lorengau,-2.0226,147.2712,84.43,69,97,5.86,PG,2021-03-16 22:43:44
89,Provideniya,64.3833,-173.3,6.8,78,90,11.18,RU,2021-03-16 22:47:00
90,Kruisfontein,-34.0033,24.7314,60.01,91,61,1.01,ZA,2021-03-16 22:46:34
91,Busselton,-33.65,115.3333,65.73,58,0,2.1,AU,2021-03-16 22:46:13
92,Victoria Point,-27.5833,153.3,70.0,94,90,5.75,AU,2021-03-16 22:48:34
93,Mehamn,71.0357,27.8492,17.6,67,40,25.32,NO,2021-03-16 22:47:36
94,Bar Harbor,44.3876,-68.2039,30.2,31,1,4.61,US,2021-03-16 22:48:34
95,Shenjiamen,29.9576,122.298,48.85,88,100,11.32,CN,2021-03-16 22:48:34
96,Svetlogorsk,52.6333,29.7333,34.02,96,100,6.33,BY,2021-03-16 22:48:34
97,Changji,44.0167,87.3167,23.0,100,75,2.24,CN,2021-03-16 22:48:35
98,Tuatapere,-46.1333,167.6833,57.99,72,98,15.99,NZ,2021-03-16 22:46:44
99,Hermanus,-34.4187,19.2345,60.01,87,16,11.88,ZA,2021-03-16 22:43:17
100,Longyearbyen,78.2186,15.6401,-4.0,65,20,16.11,SJ,2021-03-16 22:43:25
101,Bambous Virieux,-20.3428,57.7575,78.8,78,75,8.05,MU,2021-03-16 22:45:21
102,Guarapari,-20.6667,-40.4975,79.0,78,0,13.8,BR,2021-03-16 22:47:24
103,Mar Del Plata,-38.0023,-57.5575,66.2,100,90,3.44,AR,2021-03-16 22:43:25
104,Guerrero Negro,27.9769,-114.0611,59.59,55,0,23.42,MX,2021-03-16 22:47:00
105,Kondopoga,62.2057,34.2614,33.8,93,84,6.71,RU,2021-03-16 22:48:35
106,Gavle,60.6745,17.1417,30.0,80,33,1.01,SE,2021-03-16 22:48:35
107,Birao,10.2849,22.7882,79.54,52,88,7.87,CF,2021-03-16 22:48:36
108,Aklavik,68.2191,-135.0107,-4.0,65,67,2.3,CA,2021-03-16 22:46:52
109,San Giljan,35.9184,14.4898,54.0,76,20,11.5,MT,2021-03-16 22:48:36
110,Chokurdakh,70.6333,147.9167,-21.98,84,0,8.52,RU,2021-03-16 22:46:28
111,Masuguru,-11.3667,38.4167,71.38,98,42,2.1,TZ,2021-03-16 22:48:36
112,Hithadhoo,-0.6,73.0833,81.99,70,73,5.64,MV,2021-03-16 22:46:19
113,Thousand Oaks,34.1706,-118.8376,63.0,38,7,1.01,US,2021-03-16 22:48:37
114,Sabang,5.8933,95.3214,82.15,72,79,5.93,ID,2021-03-16 22:48:37
115,Victoria,22.2855,114.1577,73.0,89,5,6.96,HK,2021-03-16 22:45:05
116,Santa Vitoria Do Palmar,-33.5189,-53.3681,73.06,88,97,11.05,BR,2021-03-16 22:48:37
117,Ibimirim,-8.5406,-37.6903,78.55,42,74,18.59,BR,2021-03-16 22:48:38
118,Saskylakh,71.9167,114.0833,-42.07,95,88,8.57,RU,2021-03-16 22:46:18
119,Los Llanos De Aridane,28.6585,-17.9182,66.2,59,90,12.66,ES,2021-03-16 22:47:33
120,Port Macquarie,-31.4333,152.9167,68.0,99,100,1.01,AU,2021-03-16 22:44:01
121,Kahului,20.8947,-156.47,77.0,73,40,17.27,US,2021-03-16 22:44:57
122,Caxito,-8.5785,13.6643,78.8,78,75,1.88,AO,2021-03-16 22:48:38
123,Marfino,55.7028,37.3822,34.0,80,90,6.71,RU,2021-03-16 22:48:38
124,San Cristobal,7.7669,-72.225,75.2,94,75,13.8,VE,2021-03-16 22:44:35
125,Jega,12.2175,4.3792,86.2,21,4,4.68,NG,2021-03-16 22:48:39
126,Nikolskoye,59.7035,30.7861,30.99,93,0,2.24,RU,2021-03-16 22:46:38
127,Riyadh,24.6877,46.7219,80.6,19,0,6.91,SA,2021-03-16 22:45:22
128,Katsuura,35.1333,140.3,54.0,50,20,9.22,JP,2021-03-16 22:43:22
129,Torbay,47.6666,-52.7314,28.0,86,90,25.32,CA,2021-03-16 22:47:02
130,Jiangyou,31.7667,104.7167,62.28,86,96,3.85,CN,2021-03-16 22:48:39
131,Turukhansk,65.8167,87.9833,-17.7,67,68,1.41,RU,2021-03-16 22:48:39
132,Payo,-3.7508,103.6372,71.49,96,35,1.5,ID,2021-03-16 22:48:40
133,Half Moon Bay,37.4636,-122.4286,55.99,62,1,6.91,US,2021-03-16 22:48:40
134,Sao Filipe,14.8961,-24.4956,72.41,68,0,12.97,CV,2021-03-16 22:47:25
135,Severo-Kurilsk,50.6789,156.125,34.92,98,100,9.84,RU,2021-03-16 22:46:39
136,Fare,-16.7,-151.0167,82.24,73,72,9.44,PF,2021-03-16 22:48:40
137,Miahuatlan,18.5667,-97.4333,80.42,20,2,4.61,MX,2021-03-16 22:48:41
138,Moussoro,13.6408,16.4901,83.66,11,69,14.41,TD,2021-03-16 22:48:41
139,Makakilo City,21.3469,-158.0858,80.6,61,75,11.5,US,2021-03-16 22:48:41
140,Kodiak,57.79,-152.4072,32.0,51,1,9.22,US,2021-03-16 22:46:38
141,Gaspe,48.8334,-64.4819,12.2,48,20,9.22,CA,2021-03-16 22:46:02
142,Hanmer Springs,-42.5167,172.8167,62.51,45,0,5.19,NZ,2021-03-16 22:48:42
143,Mersing,2.4312,103.8405,75.2,94,83,5.75,MY,2021-03-16 22:45:18
144,Okaihau,-35.3167,173.7833,69.01,65,32,5.01,NZ,2021-03-16 22:48:42
145,Konza,-1.7426,37.1294,59.86,83,51,5.5,KE,2021-03-16 22:48:42
146,Flinders,-34.5833,150.8552,66.99,81,99,3.0,AU,2021-03-16 22:48:03
147,Jalapa,19.5333,-96.9167,76.05,59,3,6.31,MX,2021-03-16 22:48:42
148,Sao Domingos,-13.3983,-46.3183,74.08,70,68,4.21,BR,2021-03-16 22:48:43
149,Adrar,20.5022,-10.0711,72.82,14,0,9.37,MR,2021-03-16 22:47:21
150,Manacapuru,-3.2997,-60.6206,84.2,74,20,5.75,BR,2021-03-16 22:48:43
151,Orumiyeh,37.5527,45.0761,55.4,33,20,18.41,IR,2021-03-16 22:48:43
152,Kashi,39.4547,75.9797,48.2,34,40,4.47,CN,2021-03-16 22:48:44
153,Ambulu,-8.345,113.6058,75.7,90,85,3.15,ID,2021-03-16 22:48:44
154,Elesbao Veloso,-6.2019,-42.1403,74.8,85,10,2.59,BR,2021-03-16 22:48:44
155,Port-Gentil,-0.7193,8.7815,80.69,79,100,10.83,GA,2021-03-16 22:48:44
156,Sola,-13.8833,167.55,82.35,72,71,13.2,VU,2021-03-16 22:48:45
157,Miracema Do Tocantins,-9.5618,-48.3967,76.23,85,13,1.74,BR,2021-03-16 22:48:45
158,Lompoc,34.6391,-120.4579,57.2,58,1,18.41,US,2021-03-16 22:48:45
159,Airai,-8.9266,125.4092,64.15,81,47,1.23,TL,2021-03-16 22:46:28
160,Isangel,-19.55,169.2667,84.2,74,20,11.5,VU,2021-03-16 22:47:28
161,Narsaq,60.9167,-46.05,33.8,75,75,4.61,GL,2021-03-16 22:46:54
162,Glenwood Springs,39.5505,-107.3248,44.6,80,75,2.64,US,2021-03-16 22:47:59
163,Chapais,49.7834,-74.8492,37.4,30,40,12.66,CA,2021-03-16 22:47:02
164,Vangaindrano,-23.35,47.6,74.37,92,82,4.03,MG,2021-03-16 22:48:46
165,Kamyaran,34.7956,46.9355,57.2,38,40,9.22,IR,2021-03-16 22:48:46
166,Sinnamary,5.3833,-52.95,76.89,82,80,11.95,GF,2021-03-16 22:48:06
167,Cherskiy,68.75,161.3,-20.24,95,100,5.59,RU,2021-03-16 22:46:21
168,Tuktoyaktuk,69.4541,-133.0374,-14.8,76,20,2.3,CA,2021-03-16 22:46:14
169,Upernavik,72.7868,-56.1549,-1.39,95,99,4.07,GL,2021-03-16 22:46:53
170,Iqaluit,63.7506,-68.5145,-13.0,70,75,2.3,CA,2021-03-16 22:43:29
171,Hovd,48.0056,91.6419,18.59,55,66,4.45,MN,2021-03-16 22:47:56
172,Waipawa,-41.4122,175.5153,64.99,55,25,9.22,NZ,2021-03-16 22:48:47
173,Ponta Do Sol,32.6667,-17.1,62.6,55,20,12.66,PT,2021-03-16 22:47:24
174,Kamenka,51.3223,42.7678,32.0,77,100,8.01,RU,2021-03-16 22:47:27
175,Vanavara,60.34,102.2797,10.02,94,98,8.41,RU,2021-03-16 22:48:47
176,San Patricio,28.017,-97.5169,80.6,83,90,20.71,US,2021-03-16 22:47:56
177,Skjervoy,70.0311,20.9714,24.76,59,100,10.22,NO,2021-03-16 22:48:47
178,Sterling,39.0062,-77.4286,43.0,75,90,10.36,US,2021-03-16 22:48:48
179,Rawson,-43.3002,-65.1023,54.54,65,77,25.46,AR,2021-03-16 22:47:08
180,Lac-Megantic,45.5834,-70.8823,30.2,29,20,3.44,CA,2021-03-16 22:48:48
181,Zhigansk,66.7697,123.3711,-11.06,90,59,6.04,RU,2021-03-16 22:47:24
182,Mogadishu,2.0371,45.3438,79.77,83,77,15.68,SO,2021-03-16 22:46:41
183,Saldanha,-33.0117,17.9442,62.6,72,0,4.61,ZA,2021-03-16 22:44:48
